doc_id,content,label
8878,133582 33110 133582 139040 133642 161545 139040 133642 133582 33110 133582 133582 33110 133582 133582 133582 33110 133582 33110 161545 161545 133582 114594 33110 114594 161545 139040 133642 114594 139040 133642 114594 114594 161545 139040 133642 114594 139040 133642 33110 133582 33110 133582 133582 133582 133582 133582 133582 133582 133582 133582 33110 139040 133642 33110 133582 33110 64295 161545 64295 161545 64295 161545 64295 161545 64295 161545 33110 64295 161545 64295 161545 64295 161545 64295 161545 64295 161545 64295 161545 64295 161545 64295 161545 139040 133642 133582 139040 133642,du-lich
8879,130262 140760 8913 142625 130262 4215 130262 140760 8913 130262 140760 8913 130262 140760 130262 140760 93949 4215 142625 130262 4215 93949 4215 142625 130262 140760 8913 4215 93949 93949 8913 93949 142625 51102 8913 4215 93949 51102 51102 93949 4215 93949,du-lich
8880,92873 144656 114080 120220 92873 144656 114080 113987 114080 144656 120220 144656 114080 144656 18891 120220 144656 71941 114080 113987 144656 120220 18891 18891 114080 120220 144656 114080 113987 71941 114080 120220 144656 71941 144656 144656 18891 92873 113987 114080 71941 113987 113987 113987 114080 71941 113987 114080 18891 144656 114080 144656 114080 144656 71941,du-lich
8881,147318 136018 54053 54029 147318 29240 147318 29240 147318 29240 54053 54029 29240 136018 136018 147318 29240 136018 136018 54029 29240 54029 29240 136599 54053 147318 54029 54029 54053 147318 136599 160459 160459 136599 54029 29240 54029 136599 136599 136599 160459 160459 54053 147318,du-lich
8882,135222 160605 63694 132556 132556 84192 52569 149123 135222 132556 84192 52569 135222 135222 132556 84192 63694 160605 135222 132556 149123 135222 149123 160605 132556 132556 160605 135222 135222 132556 160605 160605 84192 52569 132556 84192 135222 135222 132556 149123 63694 160605 135222,du-lich
8883,33127 33127 47018 98132 127027 116840 33104 53776 33127 47018 98132 127027 116840 33104 53776 33127 33104 33104 33104 33104 33127 47018 98132 127027 116840 33127 33104 47018 98132 127027 116840 33104 47018 98132 127027 116840 33127 33104 33104 33127 47018 98132 127027 116840 53776 33127 98132 127027 116840 53776 33127 98132 127027 116840 98132 127027 116840 33104 33104 53776 33127 98132 127027 116840 98132 127027 116840 98132 53776 33104,du-lich
8884,14903 88640 15409 126657 14903 112409 88640 112409 14903 15409 112409 14903 112409 99417 99417 112409 99417 14903 112409 99417 14903 99417 112409 14903 112409 99417 112409 126657 14903 112409 99417 14903 112409 15409 126657 112409 112409 126657 14903 112409 112409 15409 14903 112409 112409 15409 88640 24589 15409 112409 126657 112409 24589 14903 112409 14903 112409 24589 14903 14903,du-lich
8885,27802 159062 66842 27802 131803 54270 135222 27802 148336 27802 148336 54270 135222 159062 27802 66842 27802 27802 135222 27802 66842 135222,du-lich
8886,132868 140055 33104 132868 140055 132868 21229 132868 140055 132868 140055 139442 139442 158554 136831 33104 158554 132868 132868 139442 158554 136831 139442 33104 136831 21229 140055 158554 136831 158554 33104 158554 139442 139442 136831 21229 140055 21229 33104 33104 158554 21229 21229,du-lich
8887,137983 13871 70879 19372 93425 70881 22591 13871 70879 22591 70879 70879 70881 70879 22591 22591 13871 13871 19372 13871 70879 70879 70879 19372 70879 13871 137983 70879 70879 19372 93425 70879 70879 70881 70879 19372 93425 70879 22591 13871 70879 19372 93425 70881 70879 22591 70879 13871 93425 22591 70879 70879 137983 13871 137983 13871,du-lich
