doc_id,content,label
38414,31854 103538 117781 144051 149066 117781 144051 149066 31854 117781 31854 103538 22591 66498 22591 117781 117781 31854 22591 22591 66498 117781 117781 144051 149066 117781 103538 117781 144051 103538,giai-tri
38415,107023 119360 107023 119360 93426 144729 93426 119360 93426 107023 25513 16526 87554 16526 119360 87554 93426 144729 87554 144729 119360 119360 87554 25513 87554 93426 25513 107023 93426 16526 119360 144729 93426 87554 16526 119360 144729 93426 87554 87554 87554 16526 87554 107023 144729 144729 93426 16526 25513 16526 93426 93426 87554 25513 16526 87554 16526 16526 93426 144729 119360 87554 144729 87554 119360 87554 119360 93426 87554 119360 144729 87554 87554 93426 119360 87554 87554 93426 119360 119360 119360 119360 119360 16526 16526 93426 144729 119360 93426 87554 87554 87554 25513 16526 87554 16526 93426 87554 87554 87554 93426 16526 93426 16526 87554 16526 16526 144729 25513 87554 16526 93426 16526 87554 144729 16526 87554 25513 107023 16526 119360 87554 25513 87554 93426 87554 87554 16526 93426 87554 93426 93426 107023 25513 16526 119360 16526 93426 87554 25513 16526 25513 93426 16526 93426 87554 87554 87554 25513 87554 144729 87554 144729 87554 87554 16526 93426 93426 144729 25513 25513 87554 16526 93426 87554 144729 93426 87554 25513 87554 87554 93426 87554 119360 87554 93426 144729 16526 93426 93426 16526 16526 93426 87554 87554 25513 107023 87554 16526 87554 25513 16526 107023 119360,giai-tri
38416,125859 16534 102813 124579 156298 16534 102813 125859 140172 16534 125859 16534 125859 16534 102813 39048 16534 124579 140172 125859 156298 39048 102813 140172 140172 124579 124579,giai-tri
38417,154124 24244 131304 22158 42459 154124 22158 22158 154124 131304 24244 154124 154124 24244 42459 51282 154124 159605 51282 22158 159605 42459 22158 42459 22158 42459 22158,giai-tri
38418,111867 26903 161691 111867 60971 111860 26903 111867 111867 60971 111867 161691 161691 111867 99024 111867 111867 111867 111860 111867 99024 111860 111867 111867 161691 111867 17860 111867 111867 26903 111867 26903 111867 99024 26903 111867 17860 60971,giai-tri
38419,16069 15945 17378 161014 16069 15945 17378 16069 16069 15945 161014 16069 154608 154608 17378 16069 161014 26736 16069 16069 15370 17378,giai-tri
38420,69689 14090 35671 69560 14090 69689 69689 14090 35671 69689 35671 69689 53916 53916 14090 69686 53916 53916 53916 134728 35671 69689 69686 69686 53916 69560 69689 69689 35671 69560 35671 69689 69689 134728 35671 134728 69689 134728 69689,giai-tri
38421,148343 49015 141468 81248 49015 141468 81248 148343 49015 141468 148343 49015 161801 93754 49015 49015 141468 156970 161801 93754 49015 141468 156970 49015 141468 93754 156970 49015 141468,giai-tri
38422,21110 15161 24244 53187 21110 15161 136145 75532 53187 21110 136145 136145 21110 24244 53187 75532 15161 136145 136145 24244 24244 159251 136145 159251 75532 21110 24244 159251 15161,giai-tri
38423,109646 52725 135515 124022 109646 52725 109646 51562 45390 52725 109646 124022 135515 51562 109646 52725 161637 109646 161637 109646 52725 135515 52725 135515 124022 45390 124022 109646 45390 124022 135515 109646,giai-tri
