doc_id,content,label
12822,13387 54053 13387 28163 134168 86065 55837 54053 54053 28163 134168 86065 134168 28376 86065 134168 28376 86065 28163 134168 134168 28376 86065 28163 134168 54053 28376 86065 28163,giao-duc
12823,149956 49992 128586 49992 64243 134517 132513 16203,giao-duc
12824,158112 159982 158112 159982 136599 139515 22282 22282 158112 139515 159982 159982 136599 139515 159982 139515 22282 136599 129975 159982 136599 22282 158112 129975 158112 159982 136599 136599 158112 136599 159982 158112 159982 159982 136599 22282 159982 159982 158112 22282 129975 158112 159982 136599 129975 158112 129975 136599 159982 129975 159982 158112 136599 136599 22282 159982 128909 158112 158112 129975 128909 159982 158112 159982 159982 158112 159982 136599 128909 139515 158112 136599 159982 22282 136599 22282 136599 159982 158112 139515 159982 159982 158112 159982 128909 159982 128909 158112 159982 128909 158112 159982 136599 129975 158112,giao-duc
12825,87554 93426 87554 93426 87554 87554 93426 97115 116418 87554 87554 87554 87554 44861 87554 93426 93426 97115 87554 93426 49005 49005 49005 87554 93426 44861 93426 87554 87554 87554 87554 49005 87554 97115 87554 49005 49005 87554 44861 87554 87554 87554 93426 93426 87554 87554 116418 15930 116418 15930 97115 97115 97115 97115 97115 116418 15930 97115 15930 97115 15930 15930,giao-duc
12826,162689 128398 149071 22076 33950 93426 93426 79308 22076,giao-duc
12827,151033 136599 86222 54053 86222 160171 160171 151033 48936 48931 136599 86222 54053 136599 151033 151033 160171 54053 48936 48931 86222 54053 160171 151033 54053 136599 48936 48936 54053 151033 48936 48931 151033 54053 136599 136599 86222,giao-duc
12828,132645 43124 132645 126433 43124 64122 132645 138554 43124 138551 126433 64122 138554 132645 138551 92897 126433 92897 138554 64122 138554 138551 92897 138551 138551,giao-duc
12829,132461 22891 132461 98728 10358 22893 45997 45997 22893 132461 22891 22891 132461 98728 98728 10358 22891 45997 132461 22893 132461 99455 99455,giao-duc
12830,52897 141411 20977 52883 92755 141411 52883 92755 52932 52883 92755 23582 92755 92755 20977 92755,giao-duc
12831,84708 34815 28536 27258 84708 14200 13916 34815 28536 14200 27258 84708 5599 34815 28536 27258 84708 27258 84708 5599 27258 14200 13916 34815 28536 27258 84708 34815 13916 13916 27258 84708 27258 13916 13916 27258 13916 13916 84708 5599 27258 14200 27258 14200 27258 84708 5599 27258 5599 84708 34815 28536 27258 84708 14200 13916 34815 28536 27258 84708 13916 28536 14200 27258 84708 5599 34815 28536 27258 84708 27258 84708 5599 27258 14200 13916 34815 28536 27258 84708 34815 13916 13916 27258 84708 27258 28536 27258 84708 34815 13916 13916 27258 13916 13916 84708 5599 27258 14200 27258 14200 27258 84708 5599 27258 5599,giao-duc
12832,48541 84885 143474 89217 97112 87554 52876 87554,giao-duc
12833,74832 64310 144424 97818 54029 74832 64310 144424 97818 54029 74832 64310 144424 74832 64310 144424 97818 97818 74832 144424 74832 64310 74832 54029 74832 144424 97818 132461 132461 132461 132461 144424 74832 144424 64310 132461 132461 74832 54029 74832 97117 54029 132461 132461 54029 54029 54029 97117 97117 74832 64310 144424 97117 97117 97117,giao-duc
12834,97694 84883 156970 144656 97694 84883 156970 141158 154061 141158 97694 84883 156970 141158 154061 141158 144656 12279 12279 12279 12279 12279 84883 144656 97694 84883 156970,giao-duc
12835,43206 52752 131472 26940 161616 157202 134152,giao-duc
12836,29221 74272 50746 74423 29221 74272 132344 74423 74272 157692 92313,giao-duc
12837,54065 4215 93889 54065 4215 93889 161753 158875 54065 4215 93889 51405 109078 158875 4215 54065 4215 93889 158875 54065 4215 93889 158875 161753 4215 54065 4215 161753 161753 158875 54065 4215 93889 51405 109078 54065 54065 4215 93889 158875 54065 54065 4215 93889 158875 158875 158875 54065 54065 51405 51405 109078 51405 51405 51405 93889,giao-duc
12838,48521 7821 162392 150281 157601 133801 71719,giao-duc
12839,143371 14249 92285 25994 143371 14249 92285 25994 7047 35662 8133,giao-duc
12840,130262 143449 33807 77525 80751 145085 130262 54053 143449 33807 130262 54053 77525 80751 145085 130262 143449 33807 54053 143449 33807 54053 145085 143449 33807 77525 80751 130262 145085 77525 143449 33807 130262 77525 143449 143449 33807 145085 54053 77525 54053 33807 143449 33807 130262 77525 143449 33807 33807 143449 33807 143449 33807 54053 143449 33807 143449 33807 130262 77525,giao-duc
12841,140442 146827 47132 21227 5287 47132 63707 158014,giao-duc
12842,142777 142777 159982 124437 97906 128257 128257 52327 124437 159982 51425 142777 159982 128257 128257 142777 128257 52327 97906 142777 97906 128257 159982 51425 97906 124437 97906 97906 124437 142777 159982 142777 159982 124437 51425 52327 128257 128257 142777 128257 51425 97906 97906 97906 97906 52327,giao-duc
12843,54053 53261 118318 54053 118318 53261 75724 26866 158148 118318 54053 104397 158148 54053 53261 118318 26866 104397 75724 26866 53261 54053 118318 104397 53261 118318 104397 54053 26866 158148 54053 53261 118318 26866 158148 54053 53261 118318,giao-duc
12844,54053 119028 133801 54053 119028 154662 133801 133801 132071 119028 133801 54053 54053 109521 43106 119028 119028 43106 43106 133801 109521 154662 43106 54053 154662 133801 54053 109521 43106 154662 154662 109521 132071 119028 43106 109521 43106 109521 43106 132071 109521,giao-duc
12845,54053 157055 33807 97075 132645 127023 157055 33807 54053 97075 161194 157055 33807 54053 132645 127023 157055 33807 33807 161194 157055 33807 157055 157055 33807 157055 54053 161194 157055 132645 127023 33807 157055 54053 54053 97075 157055 33807 132645 54053 132645 157055 33807,giao-duc
12846,161616 157202 157368 150281 157368 81845 22076 88036,giao-duc
12847,131723 103456 143134 143134 110985 103456 114729 131723 104322 21876,giao-duc
12848,159982 159982 138991 69722 159982 138991 69722 54029 54029 159982 54029 69722 159982 40760 4950 69722 159982 138991 54029 159982 40760 159982 69722 159982 4950 159982 138991 40760 54029 135475 135475 54029,giao-duc
12849,93794 93794 136599 84708 138551 136599 84708 138551 136599 84708 93794 93794 93794 93794 136599 84708 138551 136599 84708 136599 138551 138551 93120 54060 136599 136599 93805 93120 54060 93120 93805 136599 84708 54060 54060 93120 84708 136599 84708 136599 136599 136599,giao-duc
12850,64122 84230 124746 43099 34877 64122 84230 64122 54053 124746 43099 34877 84230 64122 128257 124746 128257 64122 124746 34877 54053 124746 43099 34877 64122 128257 54053 64122 54053 128257 54053 128257 84230 124746 43099 34877 124746 43099 34877 64122 54053 54053 84230 128257 84230 64122 124746 43099 34877 128257 128257,giao-duc
12851,26358 97694 25275 14372 148561 26358 97694 25275 29182 39033,giao-duc
12852,147318 64123 97117 88419 97117 64123 88419 54029 64123 88419 88419 64123 97117 88419 147318 64123 88419 54029 147318 64123 88419 88419 64123 159982 88419 159982 88419 64123 97117 88419 147318 135815 64123 88419 159982 147318 54029 88419 135815 159982 135815 64123 97117 88419 159982 147318 97117 64123 88419 97117 88419 54029 97117 88419 147318 64123 97117 88419 88419 147318 97117 88419 147318 97117 88419 159982 54029 88419 97117 135815 64123 147318 159982 88419 54029 97117 88419 54029 88419 135815 159982 88419 88419 147318 64123 64123 88419 54029 88419 97117 88419 64123 88419 147318 64123 97117 88419,giao-duc
12853,109593 136599 154420 15571 136599 128909 154420 136599 128909 15571 159982 154420 128909 136599 159982 154420 15571 128909 15571 128909 136599 109593 136599 154420 128909 132461 132461 132461 132461 132461 132461 159982 109593 132461 136599 109593 109593 136599 109593 136599 159982 109593 136599 109593 109593 136599 159982 15571 159982 136599 136599 159982 109593,giao-duc
12854,49005 112294 54032 119142 49005 87554 119142 49005 87554 119142 54032 54032 54032 87554 119142 136034 87554 49005 87554 22158 54032 87554 119142 112294 54032 119142 119142 54032 22158 54032 54032 54032 119142 54032 54032 119142 54032 112294 22158 54032 119142 22158 136034 87554 22158 136034 87554 119142,giao-duc
12855,119142 64298 119142 159982 159982 122453 34938 119803 119142 159982 119803 34938 122453 119142 159982 34938 64298 34938 14876 119142 159982 119142 159982 159982 159982 34938 14876 34938 14876 14876 64298 34938 34938 34938 119142 64298 119142 64298 119142 159982 159982 122453 34938 119803 119803 119142 159982 119142 159982 119803 34938 122453 119142 159982 34938 64298 34938 14876 119142 159982 119142 159982 159982 159982 34938 14876 34938 14876 14876 64298 34938 34938 34938 119142 64298 64298 119142 122453,giao-duc
12856,93400 136874 55543 93132 136874 105674 160378 157381,giao-duc
12857,13387 153918 161545 153998 13387 153918 161545 153998 123365 161170 161545 153998 153918 161545 153998 161545 153998 153918 161545 153998 161545 153998 161545 153998 64857 161545 153998 161170 64857 123365 123365 13387 123365 13387,giao-duc
12858,93426 76045 87554 128398 23647 76045 87554 128398 157483 87554 76045 76045 157483 128257 76045 93426 23647 157483 93426 87554 87554 128257 157483 87554 128257 93426 128398 87554 157483 93426 87554 128398 157483 128257 23647 87554 128257 87554 128257 87554 23647 87554 23647,giao-duc
12859,54060 22076 88036 64581 157387 28138 22076 88036 54029,giao-duc
12860,114343 93573 26389 24258 130640 24258 114343 93573 51863 158014,giao-duc
12861,54029 108433 42459 54029 54029 157547 49954 54029 92134 108433 92134 128257 128257 128257 42459 54029 54029 42459 128257 54029 42459 54029 157547 49954 54029 92134 157547 92134 54029 128257 54029 92134 108433 92134 42459 54029 108433,giao-duc
12862,13525 7821 15945 130207 93493 162687 13525 22911 15945,giao-duc
12863,136680 24280 136680 24280 16118 139485 136680 154393 109678 24280 28408 139485 28408 24280 139485 16118 154393 109678 24280 154393 139485 28408 28408 16118 154393 109678 136680 28408 154393 136680 24280 139485 16118 154393 24280 154393 109678 139485 154393,giao-duc
12864,64151 132461 52407 156995 132461 119685 156995 140857 17074,giao-duc
12865,52725 128352 99485 70989 23414 28412 14388 28412 52725 128352 99485 70989,giao-duc
12866,54029 159982 159982 136599 54050 159982 40760 54029 119142 54029 54029 54029 159982 119142 54029 54050 54029 136599 159982 54050 54029 159982 40760 119142 54029 54029 54029 119142 54029 54050 54029 40760 54050 54029 119142 119142 54029 54050 54050 119142 136599 119142 54029 43123 43123 159982 40760 159982 43123 43123 136599 119142 119142 54029 136599 43123 40760 43123 119142 43123 54029 40760 54050 54029 119142 136599 159982 119142 136599 119142 54029 54029 40760 136599 119142 119142 54029 136599 119142 54050 119142 54029 159982 119142 40760 119142 136599 159982 54029 43123 40760 119142 136599 54029 119142 54029 119142 119142 136599 54029,giao-duc
12867,87964 43099 34877 43099 34877 109267 43106 135135 87964 87964 109267 43099 34877 158875 43106 43099 34877 109267 135135 109267 135135 87964 87964 43106 43099 34877 109267 43106 135135 87964 87964 43099 34877 109267 43099 34877 158875 87964 43106 158875 158875 43106 158875 109267 109267 158875 87964 158875 135135 43099 34877 109267 109267 87964 43106 43106 109267 43106 87964 43099 34877 87964 87964 109267 87964 43099 34877 43099 34877 158875 87964 109267 158875,giao-duc
12868,25837 54053 25837 126647 54053 25837 136599 132645 25837 133801 54053 25837 25837 136599 132645 136599 136599 25837 126647 136599 54053 126647 25837 133801 25837 54053 136599 54053 136599 136599 54053 126647 25837 25837 136599 54053 126647 25837 136599 126647 136599 54053 126647 136599 25837 136599 132645 25837 54053 126647 25837 136599 54053 25837 133801 25837 54053 25837 133801 25837 25837 54053 25837 25837 136599 25837 136599 132645 22480 22480 22480 22480,giao-duc
12869,53487 124698 28051 63592 28051 123949 53487 124698 20800 53487 124698 20800 63592 8722 28051 20800 123949 53487 124698 63592 20800 123949 8722,giao-duc
12870,154420 139485 129975 129975 129975 154420 139485 136599 154420 139485 104272 154420 139485 104272 154420 139485 129975 92071 136599 26913 136599 136599 26913 129975 136599 136599 26913 129975 92071 154420 139485 136599 92071 92071 154420 139485 92071 136599 129975 129975 92071 26913 104272 154420 139485 129975 92071 104272,giao-duc
12871,28412 28412 28412 57168 148479 57168 148479 148479 57168 148479 155584 148479 4965 155584 148479 155584 148479 57168 148479 4965 155584 148479 62023 144252 148479 62023 57168 144252 148479 148479 155584 148479 148479 144252 148479 4965 62023 148479 4965 4965 62023 148479 148479 4965 144252 148479 4965 148479 155584 57168 148479 4965 155584 148479 155584 148479 4965 57168 144252 155584 148479 57168 57168 144252 155584 28412,giao-duc
12872,154376 84896 161188 63346 54053 10663 154376 84896 161188 63346 54053 128909 161188 128909 161188 161188 54053 161188 10663 154376 84896 10663 128909 154376 84896 10663 128909 128909 54053 128909 54053 54053 63346 63346 63346 63346,giao-duc
12873,136599 97739 131527 54050 131527 41646 131527 54050 136599 136599 54053 136599 54053 131527 54050 54053 131527 54050 136599 97739 131527 136599 136599 54053 136599 131527 54050 136599 136599 97739 136599 136599 131527 54050 136599 54053 131527 136599 54053 136599 131527 54050 136599 136599 131527 131527 54053 136599 136599 136599 131527 54050 136599 97739 136599 136599 54053 54053 136599 136599 54053 136599 136599 131527 54050 131527 136599 136599 136599 54053 97739 54053 97739 136599 136599 136599 54053 136599 54050 136599 136599 136599,giao-duc
