doc_id,content,label
4480,150404 161014 16048 63837 105396 54956 53129 105393 63837 128874 34584 16048 63837 161018 158481 145777 66757 146218 150404 161014 63346 108450 105396 48845 124799 16048 105393 158179 33322 86695 51918 86423 63837 51905 46086 28587 157043 63837 99626 97839 119122 28587 34183 143512 131195 46086 97839,khoa-hoc
4481,75766 34759 83826 54591 148496 125080 147730 75766 124318 34759 17037 109871 148496 159332 125080 43485 71144 147730 80035 53175 75766 119122 72159 107117 140536 17037 27262 83826 54591 84368 148501 159332 125080 85040 150317 157649 64160 84856 34759 88589 52893 67076 75766 75766 141509 21395 142598 26305 135222 22435 46267 132461 81841 96917 135222 15384 159428 15434 75766 119095 75852 64228,khoa-hoc
4482,83840 74265 83840 74265 83840 74265 31127 81313 85274 162199,khoa-hoc
4483,105970 64553 139687 22289 53667 146827 64553 93945 103457 22289 53667 55025 25611 97115 162875 52539 87899 93693 10637 22289 53667 129343 97115 130091 161706 129343 64553 93945 105970 149323 116487 53175 146827 64553 124511 33945 25611 97115 52539 87899 129404 27737 20917 113935 66737 103457 8445 16250 21251 130604 63837 15320 161315 133142 159982 12442 16043 66836 22263 103836 146827 64553 43310 33706 22289 53667 129343 105970 97115 53667 25611 97115 124488 116561 103445 105970 64553 131726 161705 162875 95228 20917 113935 154622 20357 128552 105970 131726 33526 85225 158142 93716 53483 88574 161705 17673 131116 74074 105393 53667 76449 150301 64233 126680 33526 105393 53667 64233 126680 34634 138899 93546 161705 17673 162875 17673 74074 105393 76449 159298 131013 50761 113910 53667 64274 126680 15384 4258 43078 22387 162149 103836 103504 17673 20917 113935 26926 116561 161192 146827 105970 17673 132552 132860 161705 17673 150324 103836 103455 93097 53817 150318 114180 93716 86985 34938 130103 96622 22178 125816 161705 88485 74657 4258 75701 64553 16403 93097 128874 64553 150324 28455 124969 140857 15424 24258 26926 87837 43351 157391 131100 31824 159982 12442 139626 26876 19739 103430 130103 146827 105970 964 97115 74775 60395 50761 70261 148508 93716 116561 146827 105970 64553 131726 22831 44575 161705 17673 25611 70261 148508 142833 97115 128956 126321 60395 105970 64553 27737 88574 103836 128552 158203 158142 97115 70261 83966 94960 131923 150454 83905 140141 135222 131726 129351 84929 93945,khoa-hoc
4484,132473 158985 33725 148494 160462 140291 84833 22849 114235 140291 162721 130010 132473 67076 160401 162721 162728 46267 160630 84833 15945 114235 140291 56565 15958 130393 162721 130010 33725 148494 132473 158985 87837 33798 132473 67076 160459 33798 13692 132473 75092 162381 22315 84833 15963 93693 159982 154956 85372 72143 88398 88589 114235 140291 132473 75092 51866 104272 158075 141492 15958 114235 140291 132473 67076 160401 159336 130393 84833 15963 2769 140166 87837 87837 72143 140783 8445 88398 130115 52539 43462 75092 84833 15963 15958 140291 103492 132473 15958 140291 103492 132473 22315 132473 126647 126647 65408 21186 140274 103409 154354 132473 160401 136886 132473 66983 15958 84833 15963 103492 136886 132353 132473 67076 93007 88398 132473 140825 55150 65402 15963 103492 132473 75092 162381 83578 88398 132473 75092 64228 22089 132163 64084 65402 132473 140825 135361 25836 102684 161685 87837 66979 162721 52645 76045 48838 130612 94754,khoa-hoc
4485,119339 124122 26008 54081 124122 162149 161739 160330 54081 134689 46267 132627 52661 144730 54081 92177 131100 63924 26287 16368 15810 52661 161406 22831 159963 114297 93693 14926 15921 54081 159709 16314 10692 113999 110381 103468 160330 159963 34525 63671 162149 34818 20301 87335 93716 2787 135353 119145 149772 76316 140543 161630 26358 136880 74299 159709 16314 10692 54081 140208 138440 124122 64274 14927 158930 97334 114140 34818 63556 108830 124122 10663 159709 16314 10692 87837 103421 21863 124122 28289 54081 38221 87837 26876 53181 142219 116510 87837 162717 93558 140141 78198 27250 52580 149772 85372 86505 110381 161550 20879 149063 63556 17336 5832 54081 33915 14927 158930 84179 22193 53483 34827 136885 114295 52539 135973 64501 34818 17336 109871 138797 140177 87837 46267 138440 124122 112134 33919 138440 124122 149956 34627 97212 10692 157617 64233 158930 84179 159759 52539 84112 138440 124122 131451 54081 75223 136885 114295 75701 14927 84215 132627 52661 81841 54126 114295 65516 66830 124122 28334 124117 161736 16314 124117 132411 53060 160229 122787 56152 138440 162357 128654 63556 162741 162158 130614 143459 142786 22013 153687 67151 161304 54081 15810 159963 93716 125855 147110 87969 78553 15810 124122 34627 74621 160630 141516 135630 87837 129503 159709 16314 10692 135889 52539 143508 22654 154348 28331 87837 54081 101565 27526 54081 129343 135630 131676,khoa-hoc
4486,83574 8913 157318 31098 83574 8913 150312 65516 8913 157318 31098 150312 65516 149475 85274 162199,khoa-hoc
4487,128552 27742 96785 43204 15958 42669 123366 15958 64084 157659 96844 52106 158048 128552 27742 42669 123366 43078 21186 154854 46762 30169 12642 105668 70322 52106 75397 128552 27742 96785 43204 15958 42669 123366 66983 87837 159594 142219 87273 98132 79401 53175 116487 12642 22315 84833 22849 154560 126300 3563 46267 64228 83900 138904 131463 157659 96844 12642 42669 130091 53997 128180 21251 84856 43204 75927 22891 83809 129343 26358 10782 142198 87335 84833 22849 3563 28502 84856 95213 93716 15966 159982 154858 52106 22417 53997 34942 21251 150326 143191 128552 161399 135839 24258 87837 22417 128552 15958 158048 43078 70261 21186 154854 128552 105447 27742 96785 46267 158151 150568 150314 65402 21251 24258 158151 66982 83900 103414 66833 141509 83900 138915 27742 93425 12642 83900 103414 70230 33825 105420 83957 48590 83809 84901 12642 148078 31098 22893 83809 148078 34906 22893 82332 12642 141628 31098 125822 15448 22891 21251 125822 16247 140846 141509 140846 135453 83900 103414 105420 83957 97795 71723 12642 53997 85334 21876 12642 132414 71723 8284 43155 75927 22893 43155 87335 12642 128552 43204 143475 42669 154039 26891 156966 143459 128552 128180 21251 84856 138932 42669 88349 128552 128180 84856 50761 143475 162201 12642 85321 110299 43204 12642 128552 45959 158151 53997 158151 43291 92708 66887 53997 128552 43204 70322 31098 14197,khoa-hoc
4488,45918 162787 43010 161509 27602 45918 114053 63991 162787 42239 63508 15416 128472 135222 158481 102813 63508 15416 128472 93116 142598 143179 135222 42239 27602 45918 92261 134176 131696 56066 53175 26014 45747 45918 114053 160322 46267 28138 27341 158481 64338 75077 162787 43434 108865 158481 102813 66985 27602 45910 131686 126647 25831 45918 92103 135222 139415 128874 88483 139530 34938 15416 21844 135222 63943 84227 124690 71144 45910 158702 45910 8461 136840 87837 63866 15629,khoa-hoc
4489,33782 161746 157649 22651 103414 114343 114164 131774 22651 83826 138527 14266 103414 26248 114343 8322 80574 85372 140879 85372 123483 97795 131119 100998 48845 22651 83826 138527 14266 63508 114343 15600 8322 80574 132494 10606 152812 128982 22013 108450 131015 86181 135162 13692 22651 100998 27647 161328 51377 80574 131480 76045 22651 69740 97253 140092 159064 135958 159094 158515 54587 140753 162414 21436 84695 22651 83826 138527 94655 114343 114164 80574 58839 43122 67158 136599 26926 80574 108876 103414 156966 48903 67157 128552 108518 162717 140753 88589 48845 63508 114343 83900 108549 66870 154354 22651 14266 131732 156952 159111 153613 22193 159723 85372 142646 52409 43315 52722 161746 80574 153687 22651 94655 22188 124663 161746 100998 27250 109267 114352 34945 10698 161343 108450 103421 34584 156966 142681 56616,khoa-hoc
