doc_id,content,label
42988,160450 124097 160450 15518 109615 146637 37381 160450 160450 37381 160450 124097 26896 26896 26896 37381 37381 37381 37381 146637 26896 26896 37381 146637 37381 146637 124097 146637 37381 15518 146637 124097 124097 109615 109615 15518 124097 160450 160450 15518 160450 160450 15518,kinh-doanh
42989,15518 84923 124137 34938 34938 124137 124137 34938 15518 146081 124137 84923 124137 34938 124137 34938 124137 124137 34938 124137 124137 124137 124137 34938 84923 124137 34938 146081 124137 63508 34938 124137 124137 34938 63508 34938 146081 124137 34938 66773 63508 63508 34938 34938 34938 146081 66773 63508 34938 34938 15518 146081 66773 34938 146081 124137 63508 15518 84923 146081 124137 34938 124137 66773 146081 124137 66773 15518 15518 146081 124137 15518 15518 34938 15518 34938 84923 124137 124137 84923 124137 84923 124137 124137 63508 63508 124137 63508 146081 124137 124137 63508 15518 34938,kinh-doanh
42990,15518 93832 97733 160322 15518 63518 160450 160450 15518 160322 131341 93832 97733 160322 15518 93832 63518 160450 131341 160450 160322 97733 93832 131341 97733 160322 160322 15518 15518 160322 131341 160322 15518 63518 15518 15518 63518 160322 63518 15518 63518 160322 160450 160450 160322 15518 160322 160450 160322 160450 160450,kinh-doanh
42991,111715 130348 146589 130348 16060 37381 12088 57280 130348 146589 111715 16060 12088 146589 37381 12088 37381 12088 16060 16060 12088 57280,kinh-doanh
42992,67932 52409 27043 59423 67932 52409 27043 74832 67932 52409 27043 162960 52409 27043 162960 27043 162960 27043 52409 27043 67932 67932 52409 27043 156072 74832 162960 74832 59423 74832 156072 67932 52409 27043 59423 27043 156072 67932 27043 156072 67932 52409 27043 156072 67932 52409 27043 27043 67932 27043 59423,kinh-doanh
42993,131593 66947 50739 160450 131593 66947 50739 160450 92104 65027 66947 50739 160450 131593 66947 50739 160450 92104 131170 131593 65027 92104 65027 131593 92104 66947 50739 160450 131593 66947 50739 160450 131170 131593 131593 131593 66947 50739 160450 65027 50739 131593 66947 50739 160450 131593 131593 92104 160450 66947 50739 160450 65027 131170 131593 66947 50739 160450 131170 65027 65027 131593 66947 50739 160450 131593 66947 50739 160450 65027 160450 131593,kinh-doanh
42994,148254 144424 102891 43029 148254 94023 144424 102891 22480 43029 148254 99455 102891 144424 144424 148254 144424 99455 144424 94023 144424 148254 43029 148254 148254 43029 148254 22480 43029 148254 144424 148254 148254 102891 43029 148254 144424 144424,kinh-doanh
42995,129130 63518 129130 63518 131430 129130 25753 151230 63518 129130 63518 131430 129130 131430 129130 129130 129130 63518 63518 63518 47573 131430 129130 129130 129130 63518 63518 47573 63518 63518 42487 63518 42487 47573 42487 47573 42487 47573 25753 151230,kinh-doanh
42996,42618 52539 93646 42618 52539 37437 42618 52539 122421 52539 42618 52539 46298 52539 42618 52539 93646 93646 42618 52539 93646 42618 52539 29951 122421 46298 52539 42618 52539 37437 29951 42618 52539 42618 93646 37437 52539 52539 42618 52539 37437,kinh-doanh
42997,120660 15284 114307 37381 139973 120660 15284 15284 84671 15284 15284 15284 84671 114307 37381 139973 15284 84671 84671 114307 114307 37381 139973 139973 120660 139973 114307 37381 114307 37381 147866 120660 120660 15284 37381 147866 114307 37381 37381 15284 15284 84671 37381,kinh-doanh
