doc_id,content,label
34211,28051 130797 45924 153654 153654 159120 28051 153581 13615 45924 153581 153581 13615 153654 159120 153581 13615 153581 45924 153654 45924 153581 130797 13615 153654 159120 28051 45924 153654,oto-xe-may
34212,54921 148543 25508 124687 69612 83101 83101 54921 148543 25854 54921 25854 54921 148543 25508 124687 83101 69612 25854,oto-xe-may
34213,27669 103537 34906 153581 34906 153581 10698 27669 34906 161768 72433 153581 153581,oto-xe-may
34214,64340 43029 160590 153581 64340 37688 123870 43029 102062 43029 153581 153581,oto-xe-may
34215,84727 162149 84727 162149 162149 162149 162149 162149 84727 103489 162149 162149 19739 162149 19739 162149 162149 83098 162149 84727 103489 83098 162149 19739 84727 162149 83098 162149 162149 103226 19739 162149 162149 33444 162149 19739 103226 84727 103489 162149 33444 162149 103226 84727 19739 103489 162149 162149 162149,oto-xe-may
34216,93859 102892 83826 54591 156731 121332 102892 83826 54591 121332 43923 93859 83826 54591 156731 121332 102892 43923 83826 54591 156731 121332 43923 83826 54591 83826 54591 102892 121332 93859 156731 93859 156731 121332 102892 83826 54591,oto-xe-may
34217,64338 61013 79132 153581 103521 79129 153581 84598 153581 153581,oto-xe-may
34218,83146 25056 28132 83146 25866 83146 49434 25056 28132 83146 79129 25866 108581,oto-xe-may
34219,161363 25866 159608 79129 25866 6836 159608 136878 154195,oto-xe-may
34220,75585 153654 129779 75585 129779 13615 84184 75585 75397 13615 138929,oto-xe-may
34221,84201 26018 154594 153581 109149 153581 153581 109149 153581 109149 153581 153581 153581 114371 159530 114371 154594 26018 109149 153581 84201 159530,oto-xe-may
34222,133691 43029 84727 116963 94730 43029 84727 116963 43029 153581 68397 153581 84727 116963 94730 68397 43029 153581 153581 43029 94730 153581 94730 94730 153581 43029 84727 153581 84727 133691 43029,oto-xe-may
34223,153581 153581 153402 153581 19739 19739 54125 11216 153581 153581 19739 54125 19739 11216 11237 153581 153581 14114 19739 153402 153581 14114 11237 153581 14114 11216 153402 153581 153581 14114 153581,oto-xe-may
34224,52006 43029 83146 153581 162381 150196 43029 83146 153581 162381 93172 43029 153581 153581,oto-xe-may
34225,49526 102892 158517 49434 102892 162149 158517 65417 65417 162149 49526 65417 49526 162149 158517 162149 49526 162149 102892 158517 158517 49434 152753 152753 152753 162149 49434 49526 102892 158517,oto-xe-may
34226,131074 103560 17432 15466 153581 130689 131074 103560 17432 49978 153581 153581,oto-xe-may
34227,12361 20245 74516 20245 133775 12361 85301 81251,oto-xe-may
34228,79132 134689 54966 134689 153581 136938 71640 153581,oto-xe-may
34229,140009 75451 124858 28473 132404 67466 28473 75451 140009 124858 28751 67466 140009 132404,oto-xe-may
34230,114371 124488 15565 153654 138535 124488 153654 15565 33322 124488 114371 114371 124488 114371 114371 7548 114371 33322 7548 114371,oto-xe-may
34231,134689 83146 153581 22193 83146 153581 142335 134689 22193 143632 142335 83146 153581 22193 42340 153581 153581,oto-xe-may
34232,67682 153581 119339 153581 16219 57188 57188 119339 153581 67682 119339 153581 16219 153581 57188 153581 51187 119339 153581 51187 119339 153581 65516 65516 65516,oto-xe-may
34233,67449 18485 153581 108694 153581 83941 43029 133788 43029 153581 153581,oto-xe-may
