doc_id,content,label
25687,34872 13916 45697 128621 158185 154371 75753 13916 45697 161328 128621 135834 109068 34871 84536 158185 52670 161515 72563 26866 51392 140519 15633 108876 64308 34280 26271 48513 138554 109068 34872 13916 45697 161328 128621 135834 84536 158185 52670 154371 131312 153930 34882 109068 13916 84536 158185 88014 132489 34621 15501 84942 21436 13916 45973 88589 159645 142660 27647 150314 42459 109068 160447 158723 71946,phap-luat
25688,46267 22435 45734 133930 75092 140223 45697 72159 22662 46267 128582 72159 157649 109630 109170 136883 159064 71178 46267 143424 26866 142598 149361 142191 91505 73130 135924 154393 50171 51392 125338 158071 52670 43453 142682 91505 22662 15144 72159 126847 20967 138222 130746 22662 45697 72159 126847 162609 162397 124603 159709 109630 40975 133930 72159 158539 109630 158481 126847 34906 109630 109015 56616 114334 109170 157649 136883 159709 157649 109170 94923 158481 45955 134360 51126 130746 126847 158539 159163 109630 114024 29458 159064 71178 129343 143424 132461 156940 109630 109170 15785,phap-luat
25689,126897 42658 27786 15770 132556 15345 126897 42658 15770 97334 159734 143508 161545 15345 93819 64186 81809 140536 159432 26866 133831 27786 15770 159734 132556 15345 32137 64986 150308 126897 42658 91034 162284 131338 54194 162223 103749 51392 103062 137308 26240 138017 26438 21175 132556 32137 22742 153581 97762 126897 42658 158071 130091 4120 26240 132556 15345 141221 52574 138822 43029 161545 160401 153581 138893 153654 75092 15770 162369 16061 161545 126897 42658 27786 46267 26438 15770 159734 108423 158071 154354 26240 54147 130091 139985 92237 132556 143508 161545 128956 32135 87846 150308 161629 25973 159294 55004 22435 159734 15345 126897 42658 27786 103749 162223 126897 42658 74307 157649 128956 132556 15345 52585 93819 50761 161299 95600 27647 15770 109250 62593 26240 148674 136765 162223 158449 136765 162223 26438 15345 91319 75300 15770 46267 34284 140256 154440 88538 103749 21411 126897 42658 27786 15770 132556 62593 26365 26438 140256 15345 32137 128956 134689 161545,phap-luat
25690,162961 125095 42658 22380 153581 22662 97252 157649 27699 162961 71760 71798 130070 108845 26358 125095 42658 34906 104300 27699 97252 114307 48838 148397 158988,phap-luat
25691,27647 23647 159693 157483 153581 92816 145545 101943 71760 42658 145568 42658 22259 48927 103819 22193 27647 93556 135447 160174 158988 15770 34906 154135 93426 71727 124431 133871 74587 27647 42658 108878 135447 108878 27647 42658 108845,phap-luat
25692,138870 153628 86181 105513 138838 125797 53204 150293 86181 157649 159709 141613 34906 153581 162397 53916 64248 26866 50184 52176 64308 15990 142191 42490 138106 95578 158071 52670 138871 27341 139998 53204 109015 56616 105513 136463 132556 119095 157395 157649 138871 53204 67849 92718 159709 43131 103421 33872 93795 28294 75434 138869 161592 158185 161352 114307 33872 93795 53204 103421 29458 103667 119142 43216 32778 159709 159280 153581 125797 138838 125797 53204 119142 157649 153628 49464 20301 150293 86181 125797 157635 64155 150293 141613 108694 34906 153581 150466 162397 125797 53204 135671 153628 86181 29458 103667 138769 33897 84575 124476 64248 97253 22662 63556 52395 159709 157649 97253 50774 15306 153581 162630 120421 53204 15770 72251 132489 158481 145286 54158 69789 97253 94629 153581 22193 53167 53204 34945 153581 103819 138838 153628 15731 27754 134689 161545 151038 84222 97253 52936 16964 27252 103250 21472 27341 53204 15770 27602 123964 53204 124690 67849 52176 46267 132610 142916 138871 139998 132593 15771 157649 16694 76085,phap-luat
25693,88538 43082 92237 96927 27786 64308 145137 114729 31870 162671 130116 96775 64247 139998 131090 52539 135973 143508 161545 46267 28609 72563 92237 96927 27786 64308 26866 133831 27786 64308 73265 137138 88538 43082 103771 92237 96927 103414 134680 96943 19727 27786 70328 15770 142191 42490 53675 142006 27669 157649 27307 46267 28609 72563 92237 26271 159696 52670 154421 145137 114729 31870 130116 75344 54339 22868 64247 145137 140844 53889 87824 28159 135611 108845 93726 109267 65027 53889 87824 53675 154421 27018 132820 96913 131649 140628 89144 43082 145137 143508 161545 45802 140844 162671 72534 46267 160401 138891 157649 93878 140881 119368 23082 131090 140881 138576 143508 161545 96775 64247 143508 161545 27250 158071 154354 27018 96913 131649 140628 132556 145137 85324 83146 83941 128552 92237 103414 145137 114729 31870 162671 32137 66882 54999 132383 96940 34791 27237 124513 96927 96917 43082 93878 20239 143508 161678 72534 103421 114740 92237 96927 103445 96943 147318 19727 27786 128988 132556 45802 145137 162671 72534 45802 145137 130321 64178 53889 93878 64178 143508 161545 151033 27250 158071 75300 15770 142191 42490 89144 161462 105058 91669 43082 103771 27018 132804 140489 14740 136788 140844 32137 92237 96927 103445 96943 19727 27786,phap-luat
25694,156939 159262 157593 150923 102896 71949 22591 142291 102891 154737 71949 49950 156939 142406 46267 140881 103526 108878 96607 49950 66976 139568 52395 52176 46267 133930 45697 124690 150933 138551 97271 83990 124690 16095 161023 139428 124690 97762 159645 125500 52395 71949 22591 88589 150923 138551 22591 15177 154420 52968 28486 53189 124325 161717 46267 71949 103264 22509 24282 135862 22089 13916 45697 140881 108876 71949 46267 108878 130209 108845 103349 102891 154737 71949 53175 66985 22591 67911 142291 84853 131005 71949 52176 130203 24244 22591 27217 63890 92739 130304 50774 15177 33731 70414 141492 24244 124690 16069 87858 92912 108871 22581 159259 108878 96607 46267 102891 104158 154420 159645 49950 125500 52176 140881 33731 103667 154737 105668 138551 162609 22591 27217 156952 84856 70414 162397 53311 103667 72143 33731 42319 142406 84108 42317 28132 22591 27217 53311 150923 135788 66976 22591 87858 132610 142916 140033 135623 22263 76085 8443 150923 162414 160401 21395 63592 22591 143210 76085 72147 162393 150934 126599 157649 72132 132556 15770 157649 83146 76086 4965 84853 157615 49950 87960 135788 46267 33818 150923 22521 143144 138440 159262 143215 132556 22591 83146 76085 53311 94898 102896 71949 124325 22591 67911 159045 27684 157615 130203 24244 34815 43453 84901 140881 105393 142658 150923 27217 139568 159045 150923 16069 135609 22089 24228 161104 15306 24228 162325 143210 76085 135788 150923 27217 34817 84645 22814 74018 63597 150933 141143 96844 94929 139568 34906 132862 142658 138869 132556 158473 42459 22591 84942 125095 42658 124969 87946 33819 25829 132556 16173 49950 105740 132556 33818 70414 20968 158979 84942 22591 85199 132556 70408 146991 42459 22591 42301 23816 66932 15306 114024 159645 63718 139568 108876 102891 124325 130209 24244 135788 46267 159701 140881 104158 159645 88538 103264 124325 66985 102896 49950 114307 103667 154737 93467 22640 27647 141435 162609 52649 70414 22591 27217 142291 162397 139568 114307 140881 33731 147277 93952,phap-luat
25695,15783 13916 133930 145286 159709 34743 131606 85219 62593 161644 162414 138551 159709 34743 15858 157649 96607 27647 87766 130460 141028 136765 26866 51392 67097 87970 62594 137865 141606 85324 15783 162414 138551 154618 140769 124969 13916 63942 34743 96607 131606 62593 129406 149940 131251 51392 159315 87970 51392 67097 33110 136018 131606 153616 131251 84535 51392 67097 157649 13916 133930 92897 15858 162609 159709 97271 157395 154623 34090 104184 162609 108450 22654 124969 150597 132491 15858 162414 138551 157649 131606 62593 22870 97795 26410 114207 136680 45993 28294 150907 105661 46072 26834 161717 131606 162414 138551 53483 16314 124137 92853 158539 67039 105580 27647 27250 158071 130107 8284 126847 157649 131606 21876 131606 85219 161644 131606 142191 52916 26271 52670 15783 138554 124969 42459 62593 88589 15783 156940 22193 138838 131606 154346 136018 13916 133930 92897 75451 64233 131251 84534 51392 67097 105668 15858 157649 92853 142649 157649 140753 15785 131606 48838 26410 13916 133930 43271 4258 124820 162875,phap-luat
25696,150923 84695 65422 22591 159259 19749 93837 123820 22591 131594 139415 84695 162620 133839 150923 131594 71949 19749 139998 71961 135352 53393 129039 43130 20271 66976 26240 104397 42459 159709 136719 27308 15647 133839 25836 150933 103438 83990 24282 157368 92956 46072 22591 157649 72147 83146 53127 134689 161545 136879 129130 64986 131594 140881 139415 150923 84695 71961 96779 162414 24266 132556 143667 50015 131594 162620 22799 138903 140881 105701 108878 93930 141517 64296 71949 19749 125500 108876 157299 71949 42246 131315 19749 129343 19749 157299 140881 55013 145568 142676 151033 154427 161751 19749 92103 139998 150933 142214 124907 108423 105711 109133 162671 83146 136879 132576 132556 129130 13297 19749 159332 108878 141512 143508 161545 138947 132556 83146 126647 142676 162932 159960 54559 97082 125500 142214 131434 53189 93726 42459 53311 22260 13297 85225 138947 157649 132556 83146 161717 63718 102891 104158 125502 150933 157649 85215 96607 157422 92103 26967 28184 159302 54559 96607 157649 27026 54040 150933 103438 83990 34821 157649 72147 24282 157368 54029 75701 46072 157649 65265 132556 96607 124690 20896 130393 22083 28068 64148 131594 139415 84695 85215 162620 161717 19749 134172 157649 70301 132101 52623 72263 21849 161328 43462 72566 158013 159054 157375 139626 154427 88011 140881 52920 131434 53189 93726 42459 42459 108891 157649 26967 159302 53311 19749 22732 71949 103468 139998 157299 66985,phap-luat
