doc_id,content,label
30187,95501 28650 119952 33058 95501 95501 28650 95501 28650 33058 28649 28650 95501 28649 33058 95501 119952 28649 95501 28650 99723 95471 99723 95471 95501,so-hoa
30188,69258 134689 161545 69258 134689 161545 69258 16964 83809 83809 156111 134689 161545 156111 16964 156111 16964 134689 161545 134689 161545 83809 134689 161545 114419 16964 83809 83809 134689 161545 114419 134689 161545 114419 114419 83809 16964 134689 161545 134689 161545,so-hoa
30189,84581 84581 81940 118870 146282 118870 131726 84581 142681 118870 142681 84581 118870 84581 118870 142681 84581 131726 81940 84581 118870 84581 142681 84581 84581 142681 131726 131726 142681 84581 118870 81940 142681 84581 81940 131726 118870 142681 84581 81940 142681 84581 146282 142681 131726 142681 84581 131726 84581 131726 84581 146282 84581 146282 131726 84581 131726 118870 118870 84581 81940 84581 146282 118870 81940 142681 84581 118870 118870 84581 146282 118870 118870 84581 118870,so-hoa
30190,5643 74621 151824 154472 154472 135794 151824 35897 135794 5643 74621 151824 151824 154472 5643 74621 5643 135794 154472 5643 63943 35897 63943 135794 154472 63943 135794 5643,so-hoa
30191,142681 142681 31135 98942 142681 31135 79175 79175 79175 79175 142681 31135 142681 142681 31135 98942,so-hoa
30192,153764 133530 31980 153764 153764 153764 153764 133530 85759 133530 85759 85759 133530 85759 31980 31980 31980 31980 153764 87159 87159 87159,so-hoa
30193,43029 102962 28516 102962 134689 161545 102962 134689 161545 43029 102962 134689 161545 28516 134689 161545 43029 102962 43029 102962 134689 161545 102962 134689 161545 134689 161545 134689 161545 134689 161545 56798 134689 161545 43029 134689 161545 28516 102962 134689 161545 28516 43029 102962 102962 106389 56798 43029 102962 43029 43029 134689 161545 43029 102962 161545 134689 161545 43029 134689 161545 28516 28516 56798 43029 134689 161545 28516 56798 106389 43029 43029 102962 106389 43029 102962 106389 134689 161545 102962 134689 161545 43029 134689 161545 102962 102962 106389 28516 102962 106389 102962 106389 56798 43029,so-hoa
30194,106389 16964 66746 102962 53997 16964 66746 22736 69241 16964 66746 102962 102962 106389 53997 16964 66746 53997 16964 102962 106389 16964 66746 102962 106389 106389 16964 66746 102962 102962 106389 16964 66746 53997 16964 66746 16964 16964 22736 22736 16964 102962 106389 16964 66746 69241 102962 106389 53997 16964 66746 22736,so-hoa
30195,16068 53926 150412 158185 26262 16068 150412 16068 16068 102962 102962 150412 53926 26262 158185 158185 102962 114431 16068 114431 158185,so-hoa
30196,158185 145444 117410 139990 145444 117410 139990 145444 117410 124509 145444 118745 118745 118745 158185 118745 124509 145444 158185 117410 139990 145444 158185 95144 145444 117410 139990 158185 158185 124509 158185 145444 158185 158185 124509 95144 124509 145444 145444 158185 158185 145444 95144 158185 124509 145444 145444 145444 158185 124509 124509 124509 95144 158185 145444 117410 139990,so-hoa
30197,124658 132664 41229 42363 132664 124658 42363 15911 15911 42363 45929 132664 42363 124658 55150 41229 41229 124658 132664 41229 41229 45929 55150,so-hoa
30198,102962 142475 75223 102962 93380 102962 142475 93570 102962 93570 102962 69949 56753 93570 142475 93380 93570 69949 56753 93570 75223 142475 75223,so-hoa
30199,117068 16964 162172 117068 16964 16964 79487 117068 16964 162172 79487 162172 41633 41633 669 117068 669 162172 79487 16964 162172 79487 162172 669 41633 41633 41633 669 669 117068 16964 79487 117068 669 16964 162172 79487 162172 41633 41633 16964 79487 16964 79487 16964 41633 41633 28683 28683 16964 79487 117068 16964 162172 79487 28683 162172 28683 16964 117068 162172 79487 16964 162172 79487 162172 41633 41633,so-hoa
30200,10874 4706 10874 141351 141351 128552 10874 128552 128552 141351 4706 10874 10874 10874 107421 119833 4706 10874 10874 128552 119833 107421 119833 4706 107421 128552 10874 10874 4706 112815 128552 10874 119833 4706 112815 4706 10874 141351 119833 10874 4706,so-hoa
30201,80606 52725 61464 80606 52725 61464 80606 52725 61464 21452 80606 80606 21452 124487 80606 80606 21452 80606 21452 80606 52725 61464 80606 52725 61464 21452 80606 21452 80606 124487 80606 52725 61464 105970 105970 124487 80606 52725 61464 139568 105970 139568 105970 21452 105970 105970 105970 124487 21452 139568 139568 124487 124487 124487 80606 52725 61464,so-hoa
