doc_id,content,label
1,93807 50121 94764 130203 28160 51425 159521 92853 131713 94754 119129 51425 21394 94754 50023 50121 21229 130203 51425 93807 94768 50121 80576 20301 158264 27026 131713 21229 130203 142598 46267 159284 148009 50121 124005 109593 104010 89768 16257 149073 53121 131187 33110 91294 22812 143664 142598 131713 73582 14257 142612 131713 108426 160065 94764 147318 51425 93807 50121 94764 126657 160042 51425 93967 25640 126657 63508 74709 156005 102008 45978 93949 140782 59115 28331 94764 147318 93807 50121 94764 21229 130203 147318 141912 93807 50121 129442 42459 74047 94754 147318 131088 55662 93807 50121 94754 51425 114307 157649 8354 129576 146867 109607 10057 108374 50506,the-gioi
2,139631 93053 154627 53755 103286 140112 123201 131100 160401 131015 71183 159294 84695 14266 129518 150980 84695 14266 119339 140112 123201 129518 131088 131676 14266 43259 66971 10083 140055 150575 52585 159294 10603 53755 103286 151481 140112 123201 103286 53583 20301 114295 43163 75415 140112 131100 94754 109871 103286 34941 22417 159294 140055 150124 48922 53755 27382 128560 124270 140069 84916 123201 134000 131642 9853 132422 93556 134522 140055 162837 92795 162837 81888 162837 81888 123201 134000 46267 103275 28366 96835 81888 141509 103268 53620 135116 139631 62603 148508 104184 97684 140112 64274 134000 124251 103277 143490 154281 83900 63419 22831 52539 42492 141172 140055 130128 93514 64084 31098 109140 159709 65516 93607 131653 158264 124755 130094 162748 123202 52585 138932 154262 140055 158038 75415 31098 149032 162306 123201 46267 104184 75415 162149 124046 85321 142291 83901 124270 93053 161456 124890 67158 140055 75550 50761 70752 123201 161540 19573 15320 12244 103454 162417 154370 103286 109068 161624 162417 136027 123201 131653 158264 75536 31098 27564 106409 159709 157649 162311 140055 54124 53755 142688 131653 158264 103286 126647 25831 22572 103454 158988 21700 140055 25831 74047 140055 123201 65408 150980 162787 97681 10437 131653 103286 128654 43310 157174 123201 124858 42618 75932 63717 103286 140055 123201 83901 162417 142291 160095 13297 27564 106912 85372 124858 109068 63717 103286 140112 123201 125076 126647 20245 22572 53755 94754 129518 14927 66757 158736 100084 140055 10651 14266 43250 10651 162362 140112 123201 140055 21700 125340 109682 9742 21270 159327 100843 28609 16257 53755 103286 123201 140055 52539 85372 159064 21700 149032 17745 8445 156072 21867 43250 96820 123201 63973 85372 142291 94692 139989 74775 102625 97912 53620 85372 158988 21700 140112 63556 66757 158736 100084 140112 103454 162417 48661 63556 102625 159294 100084 123201 84695 54339 123201 83901 96793 11508 85372 158988 21700 84695 140112 64274 14266 154340 138934,the-gioi
3,83901 22662 42459 10397 114053 53532 142681 43518 66979 83901 22662 42459 135905 64317 99271 10395 67479 114053 54559 97082 128654 102572 53532 142681 132163 85068 28376 158071 124890 125095 52580 978 53180 130071 83907 102552 64295 80931 57188 53532 142681 20357 162149 159717 84112 8994 102572 60136 53532 114729 72143 108939 83901 22178 160322 150312 65516 159064 13825 161768 153613 124005 10884 70606 129442 42459 135905 64317 10395 67479 84971 110155 84942 115438 54013 102572 128654 158975 21452 14879 83901 114053 63916 157620 25815 48838 83901 114053 83901 22662 42459 10395 67479 114053,the-gioi
4,108018 46072 22038 135067 94898 97928 130115 142896 87659 46072 22047 142896 160543 85439 142896 84070 8500 130115 46072 72563 131100 108018 13490 51866 135067 94712 142896 85372 46267 52675 154386 46267 63943 27229 54988 120471 74562 141507 136599 109593 142335 108018 46072 22038 97811 36075 55662 131593 128220 142896 131373 22812 135302 142896 103319 131593 162425 131593 57125 72563 28609 72563 28609 142896 85464 13130 41944 13130 28609 142896 103369 22047 142896 87563 23629 97928 161175 130115 108018 46072 22038 97928 42459 139415 112134 105393 72155 27682 85372 157019 87563 132404 21849 97928 66985 93554 108018 46072 22047 142896 97928 42459,the-gioi
5,135067 87563 29203 162661 75307 29203 162661 75307 131414 32403 94898 87563 34630 87766 108433 82714 15214 29203 162661 75307 131414 142896 160543 32403 39883 26876 29203 8445 87563 85372 23816 157615 161449 29203 108878 131685 109560 21855 12318 62332 42239 21236 108892 135067 162661 52628 75307 150190 66949 132357 103234 93726 54561 56977 4215 84581 64084 103723 70416 87563 97334 29203 37568 28609 108426 75307 21175 21855 87563 15516 135067 108426 140762 109116 85372 21525 157090 45997 45735 87563 43518 85372 23816 87563 157615 82714 63326 149513 97117 142291 84581 109133 48886 124605 129503 151582 161624 135382 159512 108426 21236 108892 15214 108876 135468 123380 29203 131178 162661 135067 114729 75288 108426,the-gioi
6,135067 54953 142896 97928 32403 16539 54953 142896 8500 93774 139548 93774 159332 135853 139548 158185 32403 136880 105511 131984 142219 93952 2020 142896 8500 143520 135067 66954 103672 34877 53175 46267 92184 162960 160196 28318 160543 134265 135067 143520 22486 84611 142896 160196 33762 134174 54953 63671 93530 93774 14142 131009 161175 108433 97928 135067 142896 52409 43204 21236 108892 31824 123444 48932 23816 162661 139626 93555 60321 92931 93774 52409 63592 55150 21849 142896 97928 135067 158210 35104 143215 14142 142363 45993 158142 97718 134265,the-gioi
7,20245 140753 80138 141492 7227 130071 134676 162399 140753 80138 48603 15810 108876 71168 140753 10692 63556 16257 42658 7235 136880 13702 129406 79622 111490 7227 76957 135222 53181 130071 66985 20245 140753 80138 86038 162741 162158 129866 26804 11400 84695 22486 108876 34906 140753 16257 19613 162399 140753 159260 130107 132081 43204 21844 76957 161181 158071 54559 34773 15600 63556 140753 114295 65520 28376 4120 133766 42658 7227 6986 130071 93659 80138 97334 63556 140753 162935 136765 6986 44936 50761 140753 8445 103513 150454 135884 80138 84695 159711 66322 76957 15655 135222 102573 22662 147742 162924 129866 157649 21229 8913 130708 108876 34906 140753 45993 108876 148604 52866 75627 93342 34912 26892 63606 21186,the-gioi
8,92974 128654 63692 119028 143487 160065 147318 119028 151033 26896 143424 114053 142373 63692 34621 52916 27647 119028 130071 88589 143424 26896 147318 53175 143487 130073 88396 42618 53180 160065 147318 119028 105580 27252 50015 131594 103351 27785 42459 70408 53891 97253 122284 86038 126847 88504 92261 142373 49780 114053 135958 67726 150128 138879 148004 119142 119028 85274 129130 103667 63692 34924 147318 33500 4120 22193 124516 13683 93949 63692 27647 46267 26431 154459,the-gioi
9,153581 103435 67911 27018 150314 52649 7227 153654 67911 149185 27018 150314 52649 17130 103435 71999 43082 109267 27018 150314 52649 161432 43099 7227 1459 53180 159594 52936 153581 103435 149185 126175 93949 4258 140009 146869 124688 7227 117991 1459 150314 52649 21844 161432 43099 50761 150314 105390 53189 161691 48603 150980 67911 153581 125095 52675 28159,the-gioi
10,13916 133930 134102 124445 161468 22027 13916 133930 84883 16273 124445 93467 128982 22013 22027 150149 6916 8322 42029 85372 16990 42239 27602 24282 162394 22118 124445 75701 66842 33725 75928 150149 6916 144271 145777 84581 154395 155685 22013 13916 133930 109397 124445 142646 53976 124778 22032 124364 6377 28051 87923 124445 132461 47564 92708 32108 124445 75371 129995 124445 66809 22400 140879 123964 141593 66842 6377 16124 22118 124445 104184 38356 84222 145777 13920 161449 124445 136796 104184 141593 66842 33725 124445 128894 21464 150585 70261 142646 34809 14304 13916 6377 132168 87856 129239 150149 134643,the-gioi
11,140799 150923 43204 22591 43301 93314 85372 95315 130203 30826 22591 150907 124001 141171 27041 135353 87359 42317 158930 150395 141628 157649 33858 28138 53972 95305 28132 14197 49992 15501 46267 66976 159004 48501 159332 150933 30826 13299 43453 86629 12566 30826 124690 139415 148616 159150 151038 30826 87287 8322 24417 48838 46267 72256 71017 129719 124746 27602 123964 87359 135609 158071 151038 93883 59055 15144 18125 62593 30826 15755 93425 18125 114024 62593 116328 157152 93883 157615 142712 141171 145568 75536 142191 126570 131013 151038 116328 158071 27037 114729 132344 151038 30826 93883 13470 94752 53175 154427 46267 93883 62138 28692 145500 46267 105668 22640 30826 87287 159150 71856 67039 70233 85274 72089 140908 64068 159645 142191 50727 154427 30826 66992 141171 131496 30826 54029 71760 93799 53657 7052 129378 45997 162292 142916 129442 141175 139415 97895 140799 71844 43204 140299 30826 151077 10786 42490 94988 13286 22012 161399 123888 71760 140941 141175 84647 67259 160316 141593 150923 160401 30826 150980 154427 95305 87287 15770 124683 130203 30826 141171 148616 95305 108871 88002 124825 24258 95305 30826 66976 93799 7011 139626 95305 72256 132461 24424 87359 130203 22591 43204 71856 81258 43204 146869 159645 63718 15577 22089 24228 22591 157649 158185 131100 140301 15457 96844 104184 14229 30826 30826 81258 150980 128982 22013 46267 71856 60025 103833 142972 87371 35422 161717 43204 30826 63718 103833 140769 26804 140908 142683 12566 53175 95305 10766 159259 143444 30826 103833 146869 26359 151038 30826 159645 35422 26359 87371 135786 162926 142191 126570 62593 46267 93883 139346 76481 30826 103829 93314 97895 151038 30826 156940 75493 101419 46516 109871 87359 108845 66992 22857 148616 156940 55014 129208 103351 87923 15810 66992 105068 156940 66988 30826 43453 55014 151038 30826 70324 29203 156940 97895 109521 143512 81258 85372 150980 150980 97082 15994 81258 85225 85372 46014 102567 30826 95305 142410 143444 24244 76772 27041 93837 87301 20301 27346 159526 158539 15770 108601 154461 124001 141171 66901 43256 27041,the-gioi
