doc_id,content,label
17039,51265 149303 103414 124244 15755 103414 124244 15755 93610 15755 93610 93610 51265 103414 15755 103414 15755 149303 93610 59253 15755 59253 15755 103414 59253 103414 15755 124244 103414 15755 59253 93610 93610 15755 103414 93610 103414 124244 51265 93610 149303 51265 93610 149303 149303 15755 124244 15755 124244 15755 124244 15755 124244 15755 124244,the-thao
17040,104307 156968 14971 104307 14971 159432 159432 142430 104307 14971 159432 104307 104307 142430 142430 129987 104307 14971 142430 129987 142430 142430 142430 129987 14971 129987 14971 142430 14971 142430 104307 14971 104307 156968 104307 156968 129987 142430 159432 14971 14971 159432 135653 104307 135653 135653 14971 135653,the-thao
17041,24525 19440 48963 19440 103702 48963 48963 138440 19440 52952 13085 138440 48963 19440 19440 103702 24525 138440 52952 13085 48963 24525 19440 13085 103702 138440 52952 19440 24525 19440 24525,the-thao
17042,106486 103286 57188 57188 103286 143522 103286 143522 57188 106486 66511 143522 57188 8724 8724 106486 103286 143522 57188 103286 57188 103286 57188 32494 57188 32494 57188 66511,the-thao
17043,57188 138440 12871 2742 57188 30199 30199 55882 57188 2742 2742 57188 55882 138440 160357 2742 2742 138440 160357 2742 57188 160357 57188 2742 2742 57188 12871 138440 160357 12871 57188 12871 138440 12871 138440 160357 12871 138440 12871 138440 138440 12871 12871,the-thao
17044,148792 138440 160357 80882 133658 138440 148792 80807 138440 160357 80807 133658 80882 159262 138440 160357 133658 160357 80807 80807 138440 160357 133658 159262 138440 160357 133658 133658 133658 148792 148792 80807 80882 138440 160357 138440 160357 133658 138440 138440 133658 133658 159262 159262 159262,the-thao
17045,152008 6233 151680 48894 160401 138440 160401 151680 6233 138440 160401 151680 152008 48894 160401 48894 138440 138440 160401 138440 152008 138440 138440 48894 48894 152008 6233 138440 48894 160401 152008 138440 138440 99650 138440 6233 48894 152008 99650 6233 152008 6233 160401,the-thao
17046,80931 87538 79969 113061 87538 8554 87538 8554 24862 1296 80931 87538 79969 113061 87538 8554 24862 79969 113061 87538 8554 87538 24862 1296 80931 87538 113061,the-thao
17047,147318 13525 143543 153103 147318 13525 48963 50036 153103 13525 116882 13525 48963 116882 143543 147318 153103 147318 147318 48963 48963 50036 13525 13525 153103 143543 147318 143543 147318 153103 48963 50036 143543 147318 13525 147318 48963,the-thao
17048,138817 135172 153818 119679 138817 119679 109311 138817 135172 109311 128301 119679 89252 153818 138817 128301 119679 138817 135172 109311 138817 135172 89252 153818 138817 135172 138817 153818 138817 153818,the-thao
17049,39033 142802 43259 109234 40142 54988 39033 142802 109234 39033 40142 142802 43259 109234 142802 54988 39033 39033 40142 43259 109234 142802 27913 27913 109234 39033 109234 43259 43259 27913 39033 109234 39033 142802 109234 39033 109234 40142 39033 40142 54988 142802 43259 27913 39033,the-thao
17050,37437 113061 29182 45033 43259 21107 21107 37437 37437 43259 45033 113061 29182 148625 29182 43259 45033 113061 148625 43259 45033 21107 37437 148625 45033 21107 21107 45033 148625 43259 21107 29182 148625 43259 45033,the-thao
17051,139485 40825 147318 43316 38199 14372 14372 147318 43316 14372 38199 43259 43316 14372 147318 43259 139485 40825 147318 43259 38199 43316 43316 147318 139485 40825 147318 43259 139485 14372 147318 14372 139485 147318 43316 139485 40825 147318 43316 147318 43316 38199 43259 43259 14372 43259 14372 147318 43259 43259 147318,the-thao
