doc_id,content,label
21614,143424 141158 153628 145286 153628 141158 138981 145286 126878 126878 143424 153628 145286 14108 14108 141158 153628 141158 138981 153628 143424 14108 126878 14108,thoi-su
21615,27802 15900 42658 148412 27802 15900 22732 27802 15900 22732 42658 22732 27802 15900 142841 42658 22947 142841 148412 27802 22947 148412 27802 15900 22947 148412 148412 42658 22732 42658,thoi-su
21616,63285 15958 63285 93434 93426 15958 87554 93426 67195 93426 93426 15958 63285 15958 146821 93434 67195 93426 146821 93426 93426 93426 63285 93434 67195 146821 67195 93426 15958 87554 63285 93434 63285 93426 93426 15958 15958 15958 87554 93434 93426 87554 63285 93434 146821 63285 87554 87554 93426 93426 87554 87554 87554 146821 93426 63285 67195 87554 63285 67195 93426 93426 93426 146821 146821 93426 146821 67195 67195 87554 93434 93426 93426 87554 87554,thoi-su
21617,93937 158562 93937 128982 54063 161194 158875 93907 158562 128982 158875 93937 161194 158875 93907 161194 93907 158562 128982 54063 161194 93937 54063 93937 128982 158875 128982 158875 93937 158562 54063 158875 128982 93937 93907 93937 93937 128982 54063 161194 54063 161194 54063 161194 54063 161194 158562 161194 128982 93937 161194 158875 93907 93937 158562 128982 158875 93937 93937 158562,thoi-su
21618,157318 43225 52645 16112 21452 21452 157318 157318 43225 52645 16112 21452 109305 157318 16112 21452 52645 34697 34697 21452 34697 109305 157318 21452 52645,thoi-su
21619,21452 158535 14093 41501 109630 75874 14093 41501 21452 158535 15911 21452 15911 14093 41501 21452 75874 15911 109630 75874 109630 21452 158535 21452 75874 75874 14093 109630,thoi-su
21620,153507 125095 22193 140009 153507 125095 126945 22193 161476 140009 153507 22193 140009 153507 125095 22193 126945 161476 140009 140009 22193 22193 140009 140009 26866 161476 140009 125095 125095 125095 126945 26866 161476 26866 126945 26866 126945 153507 26866 26866 126945,thoi-su
21621,93712 129923 84227 84227 93712 129923 130439 147996 84227 93712 129923 147445 129923 147445 93712 93712 129923 147445 84227 84227 93712 129923 93712 129923 147445 130342 130342 93712 84227 93712 129923 147445 93712 130342 130439 147996 93712 129923 130439 147996 84227 84227 93712 129923 147445 93712,thoi-su
21622,28025 150466 158264 70240 150466 158264 70240 75262 150466 150466 28025 33528 28025 150466 53675 33528 158264 28025 158264 70240 75262 150466 158264 75262 150466 150466 53675 150466 33528 150466 158264 70240 75262 53675 53675,thoi-su
21623,157032 10692 159358 159368 71726 157032 157032 71726 140536 140536 157032 159368 10692 159358 157032 10692 159358 140536 10692 159358 25973 25973 10692 157032 10692 159358 157032 157032,thoi-su
21624,21452 63508 158975 21452 63916 157620 84112 63508 158975 21452 63508 63916 157620 17272 84112 63508 158975 21452 63508 158975 63916 157620 17272 84112 63508 158975 21452 63508 84112 21452 158975 21452 158975 21452 21452 158975 21452 63916 157620,thoi-su
21625,22812 52176 26421 138859 26421 27041 22812 52176 94764 94764 27041 26421 22812 22812 52176 94764 22812 52176 138859 26421 94881 138859 26421 94764 138859 138859 26421 138859 22812 94764 52176 27041 27041 27041 27041 94881 27041 52176 52176 138859 26421 52176 94881 27041 138859 52176 94764 27041,thoi-su
21626,26287 15684 97257 130070 71907 159829 97754 26287 130070 15684 97754 71907 97257 130070 71907 159829 97754 26287 130070 159829 97754 97257 71907 15684 97257 130070 26287 97257 71907 159829 97754 26287 26287 26287 159829 159829 15684 130070 97754 130070 97257 71907 15684 15684 97257 130070 71907 159829 97754 26287 15684 15684,thoi-su
21627,13877 157032 147318 13877 157032 159358 147318 135125 86856 86856 13877 157032 159358 147318 135125 13877 157032 159358 147318 13877 13877 86856 135125 140640 135125 140640 147318 13877 157032 159358 13877 147318 147318 140640,thoi-su
21628,130392 109538 34926 149510 130392 109538 130637 71760 149510 130392 109538 71760 149510 130637 34926 71760 149510 130392 109538 34926 130637 71760 124866 71760 71760 124866 71760 71760 124866 71760 71760 124866 71760 124866 71760 130392 109538 130392 109538 130637 71760 71760 124866,thoi-su
21629,155452 34827 161681 53743 16112 16112 26299 34827 161681 26299 53743 34827 50323 26299 155452 16112 53743 50323 34827,thoi-su
21630,51425 53532 131451 154623 51425 8913 145927 21239 53532 145927 8913 51425 131451 154623 21239 53532 131451 154623 51425 145927 8913 51425 8913 21239 131451 154623 53532,thoi-su
21631,158587 146416 27007 135472 66550 15680 135472 158587 146416 27007 135472 66550 15680 135472 37662 66550 15680 158587 146416 27007 135472 66550 15680 158587 146416 27007 37662 37662 158587 146416 66550 15680 37662 27007 27007 27007 158587 146416 37662 27007 37662 27007 135472 66550 27007,thoi-su
21632,26240 158142 74638 13773 26240 88003 88003 88003 26240 26240 26240 26240 26240 158142 158142 158142 158142 158142 158142 158142 158142 158142 74638 13709 13773 74638 13709 13773 13709 13773 74638 88003 88003 126595 126595 126595 26240,thoi-su
21633,113954 162149 93570 162149 75222 162149 63963 75223 75222 162149 105600 162149 63963 75223 93570 105600 162149 162149 162149 162149 75223 105600 162149 162149 162149 162149 162149 75222 162149 113954 162149 93570 162149 162149 162149 93570 162149 63963 75223 93570 105600 162149 162149 162149 93570 162149 105600 162149 63963 75223 93570 105600 162149 113954,thoi-su
21634,130070 159819 154473 162205 130070 154473 162205 159819 147605 126897 159819 130070 159819 147605 158504 159819 154473 162205 126897 158504 126897 158504 159819 159819 126897 158504 162205 130070 159819 154473 162205 154473 162205 130070 158504 126897 130070 126897 159819 147605 126897 159819 147605 126897 159819 147605,thoi-su
21635,130070 52176 93819 93819 158036 139442 130070 52176 130070 27842 93819 158036 139442 93819 27842 93819 52176 93819 139442 52176 93819 93819 93819 130070 52176 158036 158036 139442 130070 52176 93819 93819 27842 139442 130070 52176 130070 52176 130070 93819 52176 139442 158036 139442 93819 27842 93819 139442 52176 52176 93819 158036 139442 130070 52176 27842 52176 52176 158036 139442 15906 15906 139442 15906 15906 139442 15906 15906 139442 15906 15906,thoi-su
21636,104194 25987 26926 22401 162697 104194 53657 25987 22282 53657 26926 25987 22401 22401 25987 53657 53657 53657 25987 104194 53657 22282 25987 22401 22401 25987 104194 53657 26926 22401 162697 104194 104194 22282 25987 26926 22401 162697 25987 53657 26926 22401 162697 22401 22282 26926 22401 162697 53657 25987 22401 25987 26926 162697 22401 25987 25987 22282 53657 25987 22401 162697 22401 26926 25987 25987 22282 25987 22401 22282 53657 25987 26926 22401 25987 162697 22282 53657 25987,thoi-su
21637,52176 34945 84212 65820 54203 102813 65820 53121 52176 84212 65820 54203 52176 53121 34945 84212 102813 65820 53121 102813 52176 65820 53121 52176 34945 102813 54203 84212 102813 52176 34945 84212 53121 52176 34945 84212 54203 65820 102813 102813,thoi-su
21638,135889 153581 54203 42667 135889 104300 54203 135889 104300 54203 42667 135889 153581 42667 135889 104300 42667 153581 25017 25017 153581 135889 105513 105513 105513 135889 105513 25017 135889 104300 105513 25017 135889 104300 105513 135889 104300 135889 104300 135889 135889 153581 135889 153581 135889 153581 153581 135889 153581 135889 104300 42667 135889 104300,thoi-su
21639,105652 153581 159021 105652 153581 158650 159021 105652 153581 88867 88867 53355 153581 148477 148477 148477 153581 159021 148477 158650 53355 105652 153581,thoi-su
21640,158736 45640 46014 158736 101961 63605 158736 45640 158736 15600 46014 158736 101961 45640 134360 63605 158736 101961 45640 45640 134360 15600 63605 45640 158736 45640 15600 45640 134360 46014 158736 101961 158736 15600 46014 158736 158736 158736 101961 158736 63605 45640 134360 158736 101961 15600 46014 158736 101961,thoi-su
21641,157318 22662 129239 75382 66757 135447 157318 22662 129239 75382 66757 157318 22662 129239 75382 157318 22662 129239 75382 154192 157318 22662 157318 135447 157318 154192 66757 157318 22662 129239 66757 135447 157318,thoi-su
21642,54203 54203 52176 50001 52176 52176 54203 52176 50001 54158 45848 52176 50001 50001 54158 45848 54203 52176 54203 54158 45848 54158 45848 50001 54203 54203 52176 50001 65820 52176 65820 65820 54203 52176 65820 54158 50001 52176 65820 54158 50001 114005 54203 52176 114005 54203 114005 114005 54158 50001 114005 114005 52176 114005 54203 52176 52176,thoi-su
21643,161481 114343 104071 161481 114357 104071 114343 65398 104071 161481 114357 22386 103223 22386 103223 114357 114343 114343 65398 22386 103223 161481 114343 104071,thoi-su
21644,129462 53874 15812 54029 129462 150486 129462 150486 53874 93878 129462 54029 129462 93878 54029 129462 53874 129462 150486 93878 15812 54029 93878 54029 53874 93878 54029 93878 54029 72778 54029 150486 93878 54029 72778 15812 93878 54029 15812 93878 129462 93878 150486 72778 53874 72778 15812,thoi-su
21645,22075 159693 87554 22075 159693 87554 128259 53611 93426 154566 87554 53611 128259 159693 87554 22075 93426 87554 93426 87554 93426 93426 87554 87554 87554 159693 87554 87554 159693 154566 128259 128259 53611 128259 87554 154566 87554 93426 128259 128259 53611 93426 154566 22075 159693 87554,thoi-su
21646,41352 157318 75874 41352 157318 137264 75874 41352 157318 137264 75874 104495 75874 105681 157318 114329 105681 157318 114329 104495,thoi-su
21647,93819 15869 15869 93819 158036 139442 153581 15869 158036 139442 93819 15869 158036 139442 153581 158036 15869 15869 153581 15869 153581 153581 139442 153581 93819 15906 97200 153581 139442 15906 15869 97200 15869 97200 93819 158036 139442 153581 15869 15869 93819 15869 97200 153581 15869 153581 15906 15869 93819 158036 139442 139442 158036 153581 139442 15869 93819 158036 153581 93819 153581 153581 139442 153581 15906 97200 153581 158036 139442 15906 15906 97200 139442 15906 97200 15906 139442 15906 97200 15906 139442 15906 97200 15906,thoi-su
21648,104112 130262 22047 66976 66976 21849 104112 130262 22047 13268 104112 130262 22047 13268 54766 66976 21849 54766 104112 130262 22047 13268 130262 54766 21849 22047 21849,thoi-su
